Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(783600k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.710: [GC (Allocation Failure) 0.710: [DefNew: 447K->64K(448K), 0.0012086 secs] 23835K->23830K(1048512K), 0.0012515 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.719: [GC (Allocation Failure) 0.719: [DefNew: 448K->63K(448K), 0.0013211 secs] 24214K->24208K(1048512K), 0.0013931 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.729: [GC (Allocation Failure) 0.729: [DefNew: 447K->63K(448K), 0.0013529 secs] 24592K->24587K(1048512K), 0.0014075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.738: [GC (Allocation Failure) 0.738: [DefNew: 447K->64K(448K), 0.0013081 secs] 24971K->24967K(1048512K), 0.0013922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.748: [GC (Allocation Failure) 0.748: [DefNew: 448K->64K(448K), 0.0012016 secs] 25351K->25345K(1048512K), 0.0012503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.757: [GC (Allocation Failure) 0.757: [DefNew: 448K->63K(448K), 0.0011780 secs] 25729K->25722K(1048512K), 0.0012248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.768: [GC (Allocation Failure) 0.768: [DefNew: 447K->63K(448K), 0.0015769 secs] 26106K->26101K(1048512K), 0.0016525 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
0.778: [GC (Allocation Failure) 0.778: [DefNew: 447K->64K(448K), 0.0018747 secs] 26485K->26480K(1048512K), 0.0019391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.788: [GC (Allocation Failure) 0.788: [DefNew: 448K->63K(448K), 0.0018381 secs] 26864K->26860K(1048512K), 0.0019313 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.799: [GC (Allocation Failure) 0.799: [DefNew: 447K->64K(448K), 0.0017795 secs] 27244K->27240K(1048512K), 0.0018510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.810: [GC (Allocation Failure) 0.810: [DefNew: 448K->63K(448K), 0.0014345 secs] 27624K->27617K(1048512K), 0.0014872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.819: [GC (Allocation Failure) 0.819: [DefNew: 447K->64K(448K), 0.0011086 secs] 28001K->27996K(1048512K), 0.0011611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.829: [GC (Allocation Failure) 0.829: [DefNew: 448K->63K(448K), 0.0011253 secs] 28380K->28376K(1048512K), 0.0011737 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.840: [GC (Allocation Failure) 0.840: [DefNew: 447K->63K(448K), 0.0014489 secs] 28760K->28754K(1048512K), 0.0015102 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.852: [GC (Allocation Failure) 0.852: [DefNew: 447K->63K(448K), 0.0025104 secs] 29650K->29645K(1048512K), 0.0025684 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.863: [GC (Allocation Failure) 0.863: [DefNew: 447K->63K(448K), 0.0014037 secs] 30029K->30022K(1048512K), 0.0014539 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.873: [GC (Allocation Failure) 0.873: [DefNew: 447K->63K(448K), 0.0013364 secs] 30406K->30402K(1048512K), 0.0013973 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.882: [GC (Allocation Failure) 0.882: [DefNew: 447K->64K(448K), 0.0012879 secs] 30786K->30780K(1048512K), 0.0013423 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.894: [GC (Allocation Failure) 0.894: [DefNew: 448K->63K(448K), 0.0015400 secs] 31164K->31158K(1048512K), 0.0016179 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.903: [GC (Allocation Failure) 0.903: [DefNew: 447K->64K(448K), 0.0013555 secs] 31542K->31537K(1048512K), 0.0014115 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.914: [GC (Allocation Failure) 0.914: [DefNew: 448K->63K(448K), 0.0012582 secs] 31921K->31916K(1048512K), 0.0013111 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.925: [GC (Allocation Failure) 0.925: [DefNew: 447K->63K(448K), 0.0012563 secs] 32300K->32295K(1048512K), 0.0013274 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.934: [GC (Allocation Failure) 0.934: [DefNew: 447K->63K(448K), 0.0015948 secs] 32679K->32673K(1048512K), 0.0016599 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.945: [GC (Allocation Failure) 0.945: [DefNew: 447K->63K(448K), 0.0016587 secs] 33057K->33052K(1048512K), 0.0017305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.956: [GC (Allocation Failure) 0.956: [DefNew: 447K->63K(448K), 0.0013819 secs] 33436K->33431K(1048512K), 0.0014405 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.965: [GC (Allocation Failure) 0.965: [DefNew: 447K->63K(448K), 0.0012607 secs] 33815K->33808K(1048512K), 0.0013129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
